"key","Car","Car_Version","Delivery_time","Execution_id","Feed_code","Inventory","Metadata","Model","Price","Record_create_by","Record_create_dt","Site","Source_country","Src","Type"
"","P7","670N","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","NEDC综合续航 670km 百公里加速 6秒级","670","¥ 282,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","670E+ 鹏翼版","null","622154/38/12","aeid5234","暂无库存","NEDC综合续航 670km 百公里加速 6秒级","670","¥ 387,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","670E+","null","622154/38/12","aeid5234","暂无库存","NEDC综合续航 670km 百公里加速 6秒级","670","¥ 317,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","625E","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","CLTC综合续航 625km 百公里加速 6秒级","625","¥ 285,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","586G","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","NEDC综合续航 586km 百公里加速 6秒级","586","¥ 259,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","480E","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","NEDC综合续航 480km 百公里加速 6秒级","480","¥ 259,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","480G","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","NEDC综合续航 480km 百公里加速 6秒级","480","¥ 239,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","480N","null","622154/38/12","aeid5234","暂无库存","NEDC综合续航 480km 百公里加速 6秒级","480","¥ 249,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","480G+","null","622154/38/12","aeid5234","暂无库存","NEDC综合续航 480km 百公里加速 6秒级","480","¥ 239,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","P7","null","null","622154/38/12","aeid5234","暂无库存","NEDC综合续航 562km 百公里加速 4秒级","562","null","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P7&entry=12_1_2","XPENG EV CARS"
"","G3i","520N+","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","快充30%至80% ≥35min 慢充30%至80% ≥5.5h","520","¥ 201,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G3i&entry=12_1_2","XPENG EV CARS"
"","G3i","520G+","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","快充30%至80% ≥35min 慢充30%至80% ≥5.5h","520","¥ 181,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G3i&entry=12_1_2","XPENG EV CARS"
"","G3i","460N","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","快充30%至80% ≥35min 慢充30%至80% ≥4.3h","460","¥ 188,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G3i&entry=12_1_2","XPENG EV CARS"
"","G3i","460G+","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","快充30%至80% ≥35min 慢充30%至80% ≥4.3h","460","¥ 168,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G3i&entry=12_1_2","XPENG EV CARS"
"","G9","570 Plus","预计12月-23年2月交付","622154/38/12","aeid5234","Available","CLTC综合续航 570KM 百公里加速 6.4秒","570","¥ 309,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G9&entry=12_1_2","XPENG EV CARS"
"","G9","570 Pro","预计12月-23年2月交付","622154/38/12","aeid5234","Available","CLTC综合续航 570KM 百公里加速 6.4秒","570","¥ 329,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G9&entry=12_1_2","XPENG EV CARS"
"","G9","570 Max","预计12月-23年2月交付","622154/38/12","aeid5234","Available","CLTC综合续航 570KM 百公里加速 6.4秒","570","¥ 349,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G9&entry=12_1_2","XPENG EV CARS"
"","G9","702 Pro","预计10月底-23年2月交付","622154/38/12","aeid5234","Available","CLTC综合续航 702KM 百公里加速 6.4秒","702","¥ 349,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G9&entry=12_1_2","XPENG EV CARS"
"","G9","702 Max","预计10月底-23年2月交付","622154/38/12","aeid5234","Available","CLTC综合续航 702KM 百公里加速 6.4秒","702","¥ 369,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G9&entry=12_1_2","XPENG EV CARS"
"","G9","650性能版 Pro","预计12月-23年2月交付，部分车型周期略长","622154/38/12","aeid5234","Available","CLTC综合续航 650KM 双电机四驱 百公里加速3.9秒","650性能版","¥ 399,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G9&entry=12_1_2","XPENG EV CARS"
"","G9","650性能版 Max","预计12月-23年2月交付，部分车型周期略长","622154/38/12","aeid5234","Available","CLTC综合续航 650KM 双电机四驱 百公里加速3.9秒","650性能版","¥ 419,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G9&entry=12_1_2","XPENG EV CARS"
"","G9","650上市纪念版","null","622154/38/12","aeid5234","暂无库存","CLTC综合续航 650KM 双电机四驱 百公里加速3.9秒","650性能版","¥ 469,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=G9&entry=12_1_2","XPENG EV CARS"
"","P5","550P","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","超充30%至80% ≥35min","550","¥ 225,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P5&entry=12_1_2","XPENG EV CARS"
"","P5","550E","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","超充30%至80% ≥35min","550","¥ 211,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P5&entry=12_1_2","XPENG EV CARS"
"","P5","550G","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","超充30%至80% ≥35min","550","¥ 193,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P5&entry=12_1_2","XPENG EV CARS"
"","P5","460P","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","超充30%至80% ≥30min","460","¥ 209,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P5&entry=12_1_2","XPENG EV CARS"
"","P5","460E+","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","超充30%至80% ≥30min","460","¥ 197,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P5&entry=12_1_2","XPENG EV CARS"
"","P5","460G+","签合同后预计5周内交付，部分车型周期略长","622154/38/12","aeid5234","Available","超充30%至80% ≥30min","460","¥ 179,900","aeid5234_ev_cars","2022-10-31 12:47:02","https://store.xiaopeng.com","Global","https://store.xiaopeng.com/configurate.html?carSeries=P5&entry=12_1_2","XPENG EV CARS"
